question_text,correct_option,nivel_dificultad,category,points,option_a,option_b,option_c
¿En qué año se produjo la segunda guerra mundial?,A,2,historia,15,1939,1940,1941
¿Cuál fue la causa principal de la segunda guerra mundial?,A,2,historia,15,El ascenso del nazismo,El expansionismo japonés,La política de apaciguamiento
¿Cuál fue el resultado de la segunda guerra mundial?,A,2,historia,15,La derrota del nazismo y el fascismo,La creación de la Organización de las Naciones Unidas,La división de Alemania
¿En qué año se produjo la caída del muro de Berlín?,A,2,historia,15,1989,1990,1991
¿Cuál fue la causa principal de la caída del muro de Berlín?,A,2,historia,15,El colapso del comunismo en Europa,La reunificación de Alemania,La caída del régimen soviético
¿Cuál fue el resultado de la caída del muro de Berlín?,A,2,historia,15,La reunificación de Alemania,El fin de la Guerra Fría,La expansión de la Unión Europea

¿Cuál fue el primer país en conquistar el espacio?,A,2,historia,15,Unión Soviética,Estados Unidos,China
¿Cuál fue el primer hombre en pisar la Luna?,A,2,historia,15,Neil Armstrong,Buzz Aldrin,Michael Collins
¿Cuál fue la primera mujer en pisar la Luna?,A,2,historia,15,Neil Armstrong,Buzz Aldrin,Yuri Gagarin
¿Cuál fue el primer país en desarrollar una bomba atómica?,A,2,historia,15,Estados Unidos,Unión Soviética,Reino Unido
¿Cuál fue el segundo país en desarrollar una bomba atómica?,A,2,historia,15,Unión Soviética,Estados Unidos,Reino Unido
¿Cuál fue el tercer país en desarrollar una bomba atómica?,A,2,historia,15,Reino Unido,Francia,China
¿Cuál fue el primer país en desarrollar una bomba de hidrógeno?,A,2,historia,15,Estados Unidos,Unión Soviética,Reino Unido
¿Cuál fue el segundo país en desarrollar una bomba de hidrógeno?,A,2,historia,15,Unión Soviética,Estados Unidos,Reino Unido
¿Cuál fue el tercer país en desarrollar una bomba de hidrógeno?,A,2,historia,15,Reino Unido,Francia,China
¿Cuál fue el primer país en desarrollar una bomba de neutrones?,A,2,historia,15,Estados Unidos,Unión Soviética,Reino Unido
¿Cuál fue el segundo país en desarrollar una bomba de neutrones?,A,2,historia,15,Unión Soviética,Estados Unidos,Reino Unido
¿Cuál fue el tercer país en desarrollar una bomba de neutrones?,A,2,historia,15,Reino Unido,Francia,China
¿Cuál fue el primer país en desarrollar un misil balístico intercontinental?,A,2,historia,15,Unión Soviética,Estados Unidos,Reino Unido
¿Cuál fue el segundo país en desarrollar un misil balístico intercontinental?,A,2,historia,15,Estados Unidos,Unión Soviética,Reino Unido
¿Cuál fue el tercer país en desarrollar un misil balístico intercontinental?,A,2,historia,15,Reino Unido,Francia,China
¿Cuál fue el primer país en desarrollar un submarino nuclear?,A,2,historia,15,Unión Soviética,Estados Unidos,Reino Unido
¿Cuál fue el segundo país en desarrollar un submarino nuclear?,A,2,historia,15,Estados Unidos,Unión Soviética,Reino Unido
¿Cuál fue el tercer país en desarrollar un submarino nuclear?,A,2,historia,15,Reino Unido,Francia,China
¿Cuál fue el primer país en abolir la esclavitud?,A,2,historia,15,Gran Bretaña,Francia,Estados Unidos
¿Cuál fue el primer país en otorgar el sufragio femenino?,A,2,historia,15,Nueva Zelanda,Australia,Finlandia
¿Cuál fue el primer país en establecer un sistema de educación pública gratuita y obligatoria?,A,2,historia,15,Alemania,Francia,Estados Unidos
¿Cuál fue el primer país en establecer un sistema de seguridad social?,A,2,historia,15,Alemania,Francia,Estados Unidos
¿Cuál fue el primer país en establecer un sistema de gobierno parlamentario?,A,2,historia,15,Inglaterra,Francia,Estados Unidos
¿Cuál fue el primer país en establecer un sistema de gobierno republicano?,A,2,historia,15,Estados Unidos,Francia,Inglaterra
¿Cuál fue el primer país en establecer un sistema de gobierno totalitario?,A,2,historia,15,Italia,Alemania,Rusia
¿Cuál fue el primer país en establecer un sistema de gobierno comunista?,A,2,historia,15,Rusia,China,Cuba
¿Cuál fue el primer país en establecer un sistema de gobierno democrático?,A,2,historia,15,Estados Unidos,Francia,Inglaterra
¿Cuál fue el primer país en establecer un sistema de gobierno socialista?,A,2,historia,15,Reino Unido,Francia,Suecia
¿Cuál fue el primer país en establecer un sistema de gobierno fascista?,A,2,historia,15,Italia,Alemania,España
¿Cuál fue el primer país en establecer un sistema de gobierno autoritario?,A,2,historia,15,Alemania,Italia,España
¿Cuál fue el primer país en establecer un sistema de gobierno teocrático?,A,2,historia,15,Irán,Arabia Saudita,Vaticano
¿Cuál fue la principal causa de la Revolución mexicana?,A,2,historia,15,La desigualdad social y económica,La corrupción del gobierno,La falta de representación política
¿Cuál fue la principal causa de la Revolución rusa?,A,2,historia,15,El fracaso de la primera guerra mundial,El descontento del pueblo con el gobierno zarista,La influencia del comunismo
¿Cuál fue la principal causa de la Revolución china?,A,2,historia,15,El fracaso de la Revolución Xinhai,El descontento del pueblo con el gobierno imperial,La influencia del comunismo
¿Cuál fue la principal causa de la Guerra Civil española?,A,2,historia,15,El descontento del pueblo con el gobierno republicano,El golpe de Estado de Francisco Franco,La influencia del comunismo
¿Cuál fue la principal causa de la Guerra de Vietnam?,A,2,historia,15,El deseo de los vietnamitas del sur de independizarse de los franceses,La influencia de Estados Unidos,El comunismo
¿Cuál fue la principal causa de la Guerra fría?,A,2,historia,15,El triunfo del comunismo en la Unión Soviética,El fracaso de la segunda guerra mundial,La rivalidad entre Estados Unidos y la Unión Soviética
¿Cuál fue la principal causa de la caída del Muro de Berlín?,A,2,historia,15,El colapso del comunismo en Europa,La reunificación de Alemania,La caída del régimen soviético
¿Cuál fue la principal causa de la crisis del petróleo de 1973?,A,2,historia,15,La Guerra de Yom Kippur,La crisis económica mundial,La escasez de petróleo
¿Cuál fue la principal causa de la crisis financiera de 2008?,A,2,historia,15,La burbuja inmobiliaria,La crisis económica mundial,El exceso de especulación
¿Cuál fue la principal causa del terrorismo internacional?,A,2,historia,15,El extremismo religioso,El nacionalismo,El descontento social
¿Cuál fue la principal causa de la pandemia de COVID-19?,A,2,historia,15,El virus SARS-CoV-2,La globalización,La falta de preparación de los gobiernos
¿Cuál fue la principal causa del conflicto entre Rusia y Ucrania?,A,2,historia,15,La expansión de la OTAN,La ambición de Rusia,La influencia de Estados Unidos

¿Cuál fue el principal motivo de la división del Imperio romano en dos partes el Imperio romano de Occidente y el Imperio romano de Oriente?,A,3,historia,20,La ambición de Constantino I,La presión de los pueblos bárbaros,La crisis económica del Imperio
¿Cuál fue la principal causa de la caída del Imperio romano de Occidente?,A,3,historia,20,Las invasiones bárbaras,La crisis económica del Imperio,La corrupción del gobierno
¿Cuál fue la principal causa de la Reconquista española?,A,3,historia,20,El deseo de los cristianos de recuperar la península Ibérica,La presión de los musulmanes,La debilidad del Imperio musulmán
¿Cuál fue la principal causa de la Revolución industrial?,A,3,historia,20,La invención de la máquina de vapor,La expansión del comercio,El crecimiento de la población
¿Cuál fue la principal causa de la primera guerra mundial?,A,3,historia,20,El imperialismo europeo,El nacionalismo,El militarismo
¿Cuál fue la principal causa de la segunda guerra mundial?,A,3,historia,20,El ascenso del nazismo,El expansionismo japonés,La política de apaciguamiento
¿Cuál fue la principal causa de la Guerra Fría?,A,3,historia,20,El triunfo del comunismo en la Unión Soviética,El fracaso de la segunda guerra mundial,La rivalidad entre Estados Unidos y la Unión Soviética
¿Cuál fue la principal causa de la caída del Muro de Berlín?,A,3,historia,20,El colapso del comunismo en Europa,La reunificación de Alemania,La caída del régimen soviético
¿Cuál fue la principal causa de la crisis del petróleo de 1973?,A,3,historia,20,La Guerra de Yom Kippur,La crisis económica mundial,La escasez de petróleo
¿Cuál fue la principal causa de la crisis financiera de 2008?,A,3,historia,20,La burbuja inmobiliaria,La crisis económica mundial,El exceso de especulación
¿Cuál fue la principal causa del terrorismo internacional?,A,3,historia,20,El extremismo religioso,El nacionalismo,El descontento social
¿Cuál fue la principal causa de la pandemia de COVID-19?,A,3,historia,20,El virus SARS-CoV-2,La globalización,La falta de preparación de los gobiernos
¿Cuál fue la principal causa del conflicto entre Rusia y Ucrania?,A,3,historia,20,La expansión de la OTAN,La ambición de Rusia,La influencia de Estados Unidos
¿Cuál fue el principal conflicto religioso que tuvo lugar en Europa durante la Edad Media?,A,3,historia,20,Las Cruzadas,La Reforma protestante,La Contrarreforma
¿Cuál fue el principal efecto de la Reconquista española?,A,3,historia,20,La unificación de la península Ibérica bajo el dominio cristiano,La expansión del cristianismo por el mundo,La expulsión de los judíos de España
¿Cuál fue el principal aporte de la Revolución industrial a la sociedad?,A,3,historia,20,La creación de una nueva clase social la clase obrera,El desarrollo de la tecnología,La mejora de las condiciones de vida
¿Cuál fue el principal objetivo de la primera guerra mundial?,A,3,historia,20,El reparto de las colonias africanas,La destrucción de Alemania,La defensa de la paz en Europa
¿Cuál fue el principal resultado de la segunda guerra mundial?,A,3,historia,20,La derrota del nazismo y el fascismo,La creación de la Organización de las Naciones Unidas,La división de Europa en dos bloques
¿Cuál fue el principal objetivo de la Guerra Fría?,A,3,historia,20,La expansión del comunismo por el mundo,La defensa del capitalismo,La hegemonía de Estados Unidos
¿Cuál fue el principal resultado de la caída del Muro de Berlín?,A,3,historia,20,La reunificación de Alemania,El fin de la Guerra Fría,La expansión de la Unión Europea
¿Cuál fue el principal efecto de la crisis del petróleo de 1973?,A,3,historia,20,La inflación mundial,La recesión económica,La guerra entre Israel y sus vecinos árabes
¿Cuál fue el principal resultado de la crisis financiera de 2008?,A,3,historia,20,La Gran Recesión,La caída de Lehman Brothers,El rescate de los bancos estadounidenses
¿Cuál fue el principal objetivo del terrorismo internacional?,A,3,historia,20,La destrucción de Estados Unidos,La creación de un estado islámico,La defensa de los derechos humanos
¿Cuál fue el principal efecto de la pandemia de COVID-19?,A,3,historia,20,La muerte de millones de personas,El confinamiento de la población,La crisis económica mundial
¿Cuál fue el principal resultado del conflicto entre Rusia y Ucrania?,A,3,historia,20,La invasión rusa de Ucrania,La expansión de la OTAN,La crisis energética mundial
¿Cuál fue el principal acontecimiento que marcó el inicio de la Edad Media?,A,3,historia,20,La caída del Imperio romano de Occidente,La llegada de los musulmanes a España,La expansión del cristianismo
¿Cuál fue el principal acontecimiento que marcó el inicio de la Edad Moderna?,A,3,historia,20,El descubrimiento de América,La Reforma protestante,La invención de la imprenta
¿Cuál fue el principal acontecimiento que marcó el inicio de la Edad Contemporánea?,A,3,historia,20,La Revolución francesa,La Revolución industrial,La primera guerra mundial
¿Cuál fue el principal acontecimiento que marcó el inicio de la Guerra Fría?,A,3,historia,20,La victoria de los Aliados en la segunda guerra mundial,El triunfo del comunismo en la Unión Soviética,El discurso de Fulton de Winston Churchill
¿Cuál fue el principal acontecimiento que marcó el inicio de la globalización?,A,3,historia,20,La caída del Muro de Berlín,La creación de la Organización Mundial del Comercio,La expansión de internet
¿Cuál fue el principal acontecimiento que marcó el inicio de la era digital?,A,3,historia,20,La invención del ordenador personal,La creación de la World Wide Web,El desarrollo del teléfono móvil
¿Cuál fue el principal acontecimiento que marcó el inicio de la Cuarta Revolución Industrial?,A,3,historia,20,El desarrollo de la inteligencia artificial,El auge de la impresión 3D,La automatización de la producción
¿Cuál fue el principal acontecimiento que marcó el inicio de la pandemia de COVID-19?,A,3,historia,20,La aparición del virus SARS-CoV-2 en Wuhan,China,La declaración de pandemia por la Organización Mundial de la Salud,La primera muerte por COVID-19 en Italia
¿Cuál fue el principal acontecimiento que marcó el inicio del conflicto entre Rusia y Ucrania?,A,3,historia,20,La anexión de Crimea por Rusia en 2014,La expansión de la OTAN hacia el este de Europa,La invasión rusa de Ucrania en 2022
¿Cuál fue el primer filósofo griego en formular la teoría de la evolución?,A,3,historia,20,Anaximandro,Heráclito,Demócrito
¿Cuál fue el primer matemático griego en formular el teorema de Pitágoras?,A,3,historia,20,Pitágoras,Tales de Mileto,Euclides
¿Cuál fue el primer médico griego en realizar una autopsia?,A,3,historia,20,Hipócrates,Galeno,Aristóteles
¿Cuál fue el primer historiador griego en escribir una historia de Grecia?,A,3,historia,20,Heródoto,Tucídides,Herodoto y Tucídides
¿Cuál fue el primer filósofo griego en formular la teoría de la democracia?,A,3,historia,20,Platón,Aristóteles,Pericles
¿Cuál fue el primer filósofo griego en formular la teoría del Estado ideal?,A,3,historia,20,Platón,Aristóteles,Sócrates
¿Cuál fue el primer filósofo griego en formular la teoría de la tragedia?,A,3,historia,20,Sófocles,Eurípides,Aristóteles
¿Cuál fue el primer filósofo griego en formular la teoría de la comedia?,A,3,historia,20,Aristófanes,Sófocles,Eurípides
¿Cuál fue el primer filósofo griego en formular la teoría de la belleza?,A,3,historia,20,Platón,Aristóteles,Sócrates
¿Cuál fue el primer filósofo griego en formular la teoría del amor?,A,3,historia,20,Platón,Aristóteles,Sócrates
¿Cuál fue el primer país de América Latina en declarar su independencia de España?,A,3,historia,20,Venezuela,México,Argentina
¿Cuál fue el primer país de América Latina en abolir la esclavitud?,A,3,historia,20,Brasil,México,Chile
¿Cuál fue el primer país de América Latina en establecer un sistema de gobierno republicano?,A,3,historia,20,Estados Unidos,México,Argentina
¿Cuál fue el primer país de América Latina en establecer un sistema de gobierno federal?,A,3,historia,20,Estados Unidos,México,Argentina
¿Cuál fue el primer país de América Latina en establecer un sistema de gobierno presidencialista?,A,3,historia,20,Estados Unidos,México,Argentina
¿Cuál fue el primer país de América Latina en establecer un sistema de gobierno parlamentario?,A,3,historia,20,Brasil,México,Argentina
¿Cuál fue el primer país de América Latina en establecer un sistema de gobierno socialista?,A,3,historia,20,Cuba,Venezuela,Bolivia
¿Cuál fue el primer país de América Latina en establecer un sistema de gobierno comunista?,A,3,historia,20,Cuba,Venezuela,Bolivia
¿Cuál fue el primer país de América Latina en establecer un sistema de gobierno teocrático?,A,3,historia,20,Vaticano,Honduras,El Salvador
¿Cuál fue el principal objetivo de la Revolución rusa de 1917?,A,3,historia,20,La abolición de la monarquía,La instauración de un gobierno socialista,La creación de una Unión Soviética
¿Cuál fue el principal objetivo de la Revolución china de 1949?,A,3,historia,20,La expulsión de los japoneses de China,La instauración de un gobierno comunista,La creación de una República Popular China
¿Cuál fue el principal objetivo de la Revolución cubana de 1959?,A,3,historia,20,La expulsión del dictador Fulgencio Batista,La instauración de un gobierno socialista,La creación de una República de Cuba
¿Cuál fue el principal objetivo de la Revolución mexicana de 1910?,A,3,historia,20,La caída del régimen de Porfirio Díaz,La instauración de un gobierno democrático,La creación de una República Mexicana
¿Cuál fue el principal objetivo de la Revolución haitiana de 1791-1804?,A,3,historia,20,La abolición de la esclavitud,La instauración de un gobierno independiente,La creación de una República de Haití
¿Cuál fue el principal objetivo de la Revolución peruana de 1821?,A,3,historia,20,La independencia de Perú del Imperio español,La instauración de un gobierno republicano,La creación de una República de Perú
¿Cuál fue el principal objetivo de la Revolución de los Comuneros de 1810?,A,3,historia,20,La independencia de Colombia del Imperio español,La instauración de un gobierno republicano,La creación de una República de Colombia
¿Cuál fue el principal objetivo de la Revolución de Mayo de 1810?,A,3,historia,20,La independencia de Argentina del Imperio español,La instauración de un gobierno republicano,La creación de una República de Argentina
¿Cuál fue el principal objetivo de la Revolución de Hidalgo de 1810?,A,3,historia,20,La independencia de México del Imperio español,La instauración de un gobierno republicano,La creación de una República de México
¿Cuál fue el principal legado de la civilización maya?,A,3,historia,20,Su arquitectura,Su escritura,Su calendario
¿Cuál fue el principal legado de la civilización azteca?,A,3,historia,20,Su religión,Su arte,Su ingeniería
¿Cuál fue el principal legado de la civilización inca?,A,3,historia,20,Su sistema de caminos,Su agricultura,Su arquitectura
¿Cuál fue el principal legado de la civilización egipcia?,A,3,historia,20,Su pirámides,Su escritura,Su sistema de gobierno
¿Cuál fue el principal legado de la civilización griega?,A,3,historia,20,Su democracia,Su filosofía,Su arte
¿Cuál fue el principal legado de la civilización romana?,A,3,historia,20,Su derecho,Su ingeniería,Su literatura
¿Cuál fue el principal legado de la civilización china?,A,3,historia,20,Su papel,Su imprenta,Su porcelana
¿Cuál fue el principal legado de la civilización árabe?,A,3,historia,20,Su religión,Su ciencia,Su arte
¿Cuál fue el principal motivo de la Guerra de los Treinta Años?,A,3,historia,20,La lucha por la hegemonía en Europa,La Reforma protestante,La expansión del Imperio otomano
¿Cuál fue el principal motivo de la Guerra de los Siete Años?,A,3,historia,20,La lucha por el control de las colonias americanas,La lucha por la hegemonía en Europa,La expansión del Imperio ruso
¿Cuál fue el principal motivo de la Revolución Francesa?,A,3,historia,20,La crisis económica,La crisis política,La crisis social
¿Cuál fue el principal motivo de la Guerra de la Independencia de los Estados Unidos?,A,3,historia,20,El deseo de los colonos de independizarse de Gran Bretaña,La lucha por la libertad religiosa,La lucha por la igualdad social
¿Cuál fue el principal motivo de la Guerra Civil estadounidense?,A,3,historia,20,El conflicto entre los estados esclavistas y los estados libres,La lucha por la supremacía de la Unión,La lucha por la igualdad racial
¿Cuál fue el principal motivo de la primera guerra mundial?,A,3,historia,20,La rivalidad entre las potencias europeas,El asesinato del archiduque Francisco Fernando de Austria,La expansión del colonialismo
¿Cuál fue el principal motivo de la segunda guerra mundial?,A,3,historia,20,La expansión del nazismo y el fascismo,El ataque japonés a Pearl Harbor,El Pacto Molotov-Ribbentrop
¿Cuál fue el principal motivo de la Guerra Fría?,A,3,historia,20,La rivalidad entre Estados Unidos y la Unión Soviética,La expansión del comunismo por el mundo,La división de Europa en dos bloques
¿Cuál fue el principal motivo de la crisis del petróleo de 1973?,A,3,historia,20,La decisión de los países árabes de la OPEP de reducir la producción de petróleo,La guerra de Yom Kippur entre Israel y sus vecinos árabes,La crisis económica mundial
¿Cuál fue el principal motivo de la crisis financiera de 2008?,A,3,historia,20,El colapso del mercado hipotecario estadounidense,La crisis económica mundial,La burbuja inmobiliaria
¿Cuál fue el principal motivo del terrorismo internacional?,A,3,historia,20,El deseo de los grupos terroristas de imponer su ideología,La defensa de los derechos humanos,La lucha contra la globalización
¿Cuál fue el principal motivo del conflicto entre Rusia y Ucrania?,A,3,historia,20,La expansión de la OTAN hacia el este de Europa,La anexión de Crimea por Rusia,La crisis energética mundial
¿Cuál fue la principal causa de la caída del Imperio romano de Occidente?,A,3,historia,20,Las invasiones bárbaras,La crisis económica,La crisis política
¿Cuál fue la principal causa de la caída del Imperio romano de Oriente?,A,3,historia,20,Las invasiones musulmanas,La crisis económica,La crisis política
¿Cuál fue la principal causa de la caída de la dinastía Ming?,A,3,historia,20,La rebelión de los campesinos,La crisis económica,La crisis política
¿Cuál fue la principal causa de la caída de la dinastía Qing?,A,3,historia,20,La Guerra del Opio,La crisis económica,La crisis política
¿Cuál fue la principal causa de la caída del Imperio otomano?,A,3,historia,20,La derrota en la primera guerra mundial,La crisis económica,La crisis política
¿Cuál fue la principal causa de la caída del Imperio austrohúngaro?,A,3,historia,20,La derrota en la primera guerra mundial,La crisis económica,La crisis política
¿Cuál fue la principal causa de la caída del Imperio ruso?,A,3,historia,20,La Revolución rusa,La crisis económica,La crisis política
¿Cuál fue la principal causa de la caída de la República de Weimar?,A,3,historia,20,La Gran Depresión,La crisis económica,La crisis política
¿Cuál fue la principal causa de la caída del régimen de Franco?,A,3,historia,20,La muerte de Franco,La crisis económica,La crisis política
¿Cuál fue la principal causa de la caída del comunismo en Europa del Este?,A,3,historia,20,La Revolución de terciopelo,La crisis económica,La crisis política
¿Cuál fue la principal causa de la caída del régimen de Saddam Hussein?,A,3,historia,20,La invasión de Irak por Estados Unidos,La crisis económica,La crisis política

¿Cuál es el océano más grande del mundo?,A,1,geopolitica,10,Pacífico,Atlántico,Índico
¿Cuál es el continente más grande del mundo?,A,1,geopolitica,10,Asia,África,América
¿Cuál es el país más poblado del mundo?,A,1,geopolitica,10,China,India,Estados Unidos
¿Cuál es el idioma más hablado del mundo?,A,1,geopolitica,10,Mandarín,Hindi,Inglés
¿Cuál es la religión más practicada del mundo?,A,1,geopolitica,10,Cristianismo,Islam,Hinduismo
¿Cuál es la moneda más utilizada en el mundo?,A,1,geopolitica,10,Dólar estadounidense,Euro,Yen japonés
¿Cuál es el organismo internacional más importante del mundo?,A,1,geopolitica,10,Naciones Unidas,Organización Mundial del Comercio,Organización del Tratado del Atlántico Norte
¿Cuál es el continente más desarrollado del mundo?,A,1,geopolitica,10,Europa,América del Norte,Asia
¿Cuál es el continente más pobre del mundo?,A,1,geopolitica,10,África,Asia,América Latina
¿Cuál es el país con el mayor ejército del mundo?,A,1,geopolitica,10,Estados Unidos,China,India
¿Cuál es el país con el mayor arsenal nuclear del mundo?,A,1,geopolitica,10,Estados Unidos,Rusia,China
¿Cuál es el país más pequeño del mundo?,A,1,geopolitica,10,Vaticano,Mónaco,San Marino
¿Cuál es el país más alto del mundo?,A,1,geopolitica,10,Nepal,Bolivia,China
¿Cuál es el país más frío del mundo?,A,1,geopolitica,10,Rusia,Canadá,Escandinavia
¿Cuál es el país más caliente del mundo?,A,1,geopolitica,10,Arabia Saudita,Sudán,Maldivas
¿Cuál es el país con la mayor población musulmana?,A,1,geopolitica,10,Indonesia,Pakistán,India
¿Cuál es el país con la mayor población cristiana?,A,1,geopolitica,10,Brasil,Estados Unidos,México
¿Cuál es el país con la mayor población hinduista?,A,1,geopolitica,10,India,Indonesia,Pakistán
¿Cuál es el país con la mayor población budista?,A,1,geopolitica,10,China,Japón,Tailandia
¿Cuál es el país con la mayor población judía?,A,1,geopolitica,10,Israel,Estados Unidos,Francia
¿Cuál es el principal objetivo de la Organización de las Naciones Unidas (ONU)?,A,1,geopolitica,10,Mantener la paz y la seguridad internacionales,Promover el desarrollo económico y social,Promover los derechos humanos y las libertades fundamentales
¿Cuál es el principal órgano de la ONU?,A,1,geopolitica,10,La Asamblea General,El Consejo de Seguridad,La Secretaría General
¿Cuáles son los cinco miembros permanentes del Consejo de Seguridad de la ONU?,A,1,geopolitica,10,Estados Unidos Rusia China Francia y  Reino Unido, España Italia Francia Austria y Reino Unido, Suiza Suecia Reino Unido Alemanida y Estados Unidos
¿Cuál es el principal objetivo de la Organización Mundial del Comercio (OMC)?,A,1,geopolitica,10,Promover el libre comercio,Proteger los derechos de los trabajadores,Proteger el medio ambiente
¿Cuál es el principal órgano de la OMC?,A,1,geopolitica,10,La Conferencia Ministerial,El Consejo General,El Órgano de Apelación
¿Cuáles son los tres principales bloques económicos del mundo?,A,1,geopolitica,10,La Unión Europea,La Asociación de Naciones del Sureste Asiático (ASEAN),El Tratado de Libre Comercio de América del Norte (TLCAN)
¿Cuál es el principal objetivo de la Unión Europea (UE)?,A,1,geopolitica,10,Promover la integración económica y política de los países miembros,Proteger los derechos de los ciudadanos europeos,Promover la paz y la estabilidad en Europa
¿Cuáles son los principales países miembros de la Unión Europea?,A,1,geopolitica,10,Alemania Francia,España,Italia Reino Unido
¿Cuál es el principal objetivo de la Asociación de Naciones del Sureste Asiático (ASEAN)?,A,1,geopolitica,10,Promover la cooperación económica y política entre los países miembros,Proteger los intereses de los países miembros,Promover la paz y la estabilidad en el Sudeste Asiático
¿Cuáles son los principales países miembros de la Asociación de Naciones del Sureste Asiático (ASEAN)?,A,1,geopolitica,10,Indonesia Malasia ,Filipinas Singapur Tailandia, todas las anteriores
¿Cuál es el principal objetivo del Tratado de Libre Comercio de América del Norte (TLCAN)?,A,1,geopolitica,10,Promover el libre comercio entre los países miembros,Proteger los derechos de los trabajadores,Proteger el medio ambiente
¿Cuáles son los principales países miembros del Tratado de Libre Comercio de América del Norte (TLCAN)?,A,1,geopolitica,10,Estados Unidos,México,Canadá
¿Cuál es el principal conflicto geopolítico actual en el mundo?,A,1,geopolitica,10,La guerra en Ucrania,La rivalidad entre Estados Unidos y China,La crisis climática
¿Cuál es el principal actor geopolítico en el mundo actual?,A,1,geopolitica,10,Estados Unidos,China,Rusia
¿Cuál es el principal desafío geopolítico del siglo XXI?,A,1,geopolitica,10,El cambio climático,El auge de China,La inestabilidad política
¿Cuál es el principal interés geopolítico de Estados Unidos en el mundo actual?,A,1,geopolitica,10,Mantener su hegemonía global,Frenar el ascenso de China,Proteger sus intereses económicos
¿Cuál es el principal interés geopolítico de China en el mundo actual?,A,1,geopolitica,10,Ascender a la condición de superpotencia,Proteger sus intereses económicos,Extender su influencia en Asia
¿Cuál es el principal interés geopolítico de Rusia en el mundo actual?,A,1,geopolitica,10,Recuperar su influencia en Europa del Este,Proteger sus intereses económicos,Frenar el avance de la OTAN
¿Cuál es el principal interés geopolítico de la Unión Europea en el mundo actual?,A,1,geopolitica,10,Promover su integración económica y política,Proteger sus intereses económicos,Proteger la paz y la estabilidad en Europa
¿Cuál es el principal interés geopolítico de la Asociación de Naciones del Sureste Asiático (ASEAN)?,A,1,geopolitica,10,Promover la cooperación económica y política entre sus miembros,Proteger los intereses de sus miembros,Promover la paz y la estabilidad en el Sudeste Asiático
¿Cuál es el principal interés geopolítico del Tratado de Libre Comercio de América del Norte (TLCAN)?,A,1,geopolitica,10,Promover el libre comercio entre sus miembros,Proteger los derechos de los trabajadores,Proteger el medio ambiente
¿Cuál es la importancia estratégica del estrecho de Malaca para el comercio mundial?,A,1,geopolitica,10,Es el paso marítimo más importante del mundo para el comercio de petróleo y gas,Es el paso marítimo más importante del mundo para el comercio de mercancías,Es el paso marítimo más importante del mundo para el comercio de personas
¿Qué factores están impulsando la rivalidad entre Estados Unidos y China en el Indo-Pacífico?,A,1,geopolitica,10,La competencia por la hegemonía global,La competencia por los recursos naturales,La competencia por la influencia política
¿Cuál es el papel de la Unión Europea en la resolución de conflictos en el Medio Oriente?,A,1,geopolitica,10,Es un actor importante en la mediación de conflictos,Es un actor importante en la ayuda humanitaria,Es un actor importante en la promoción de la democracia
¿Cuáles son los desafíos que enfrenta la ASEAN en su integración económica?,A,1,geopolitica,10,Las diferencias entre los países miembros,Las diferencias entre las economías de los países miembros,Las diferencias entre las políticas de los países miembros
¿Cuál es el impacto de la guerra en Ucrania en el sistema mundial?,A,1,geopolitica,10,Está provocando una crisis energética,Está provocando una crisis alimentaria,Está provocando una crisis de seguridad

¿Cuál es el país que posee mayor influencia en la Unión Europea?,A,1,geopolitica,10,Alemania,Francia,Reino Unido
¿Qué país lidera el Grupo de los BRICS?,A,1,geopolitica,10,China,India,Brasil
¿Cuál de los siguientes países es miembro permanente del Consejo de Seguridad de la ONU?,A,1,geopolitica,10,Estados Unidos,Canadá,Australia
¿Quién es considerado el líder político más poderoso del mundo?,A,1,geopolitica,10,Presidente de Estados Unidos,Presidente de China,Presidente de Rusia
¿Cuál es el país más influyente en el Consejo de Cooperación del Golfo (CCG)?,A,1,geopolitica,10,Arabia Saudita,Qatar,Emiratos Árabes Unidos
¿Cuál de los siguientes países es conocido por su política de neutralidad y es sede de varias organizaciones internacionales?,A,1,geopolitica,10,Suiza,Suecia,Finlandia
¿Quién es el líder del partido político que gobierna en Rusia actualmente?,A,1,geopolitica,10,Vladimir Putin,Dmitry Medvedev,Sergey Lavrov
¿Cuál es el país líder del Pacto de Varsovia?,A,1,geopolitica,10,Unión Soviética,Polonia,Alemania Oriental
¿Qué país es miembro del Tratado de Defensa del Sudeste Asiático (ASEAN)?,A,1,geopolitica,10,Indonesia,Tailandia,India
¿Cuál es el país que históricamente ha tenido una política de "no alineación" durante la Guerra Fría?,A,1,geopolitica,10,India,Egipto,Indonesia
¿Quién es el líder supremo de Irán?,A,1,geopolitica,10,Ayatolá Ali Khamenei,Hassan Rouhani,Mohammad Javad Zarif
¿Cuál de los siguientes países es parte de la Commonwealth?,A,1,geopolitica,10,Canadá,Sudáfrica,Francia
¿Quién es el actual Canciller de Alemania?,A,1,geopolitica,10,Olaf Scholz,Angela Merkel,Annalena Baerbock
¿Cuál es el país con mayor influencia en la Liga Árabe?,A,1,geopolitica,10,Egipto,Arabia Saudita,Irán
¿Qué país es conocido por su política de "Estado-nación judío"?,A,1,geopolitica,10,Israel,Irán,Irak
¿Quién es el líder del partido político que gobierna en China actualmente?,A,1,geopolitica,10,Xi Jinping,Hu Jintao,Bo Xilai
